# submitted_id	current_id	converted_id	current_symbol
Gl[l12]	unknown ID	-	-
l(3)S044422[S044422]	FBal0100101	FBgn0028151	l(3)S044422
l(1)20Ag[B2.45.8]	FBal0082852	FBgn0023070	l(1)20Ag
Gug[unspecified]	FBal0131792	FBgn0010825	Gug
Cpsf73[GD3050]	FBal0205565	FBgn0261065	Cpsf73
fs(1)M36[6]	FBal0004391	FBgn0000848	fs(1)M36
puc[E69-A]	FBal0178350	FBgn0243512	puc
CG2972[GD9870]	FBal0202392	FBgn0030177	CG2972
RpII140[M5]	FBal0030130	FBgn0262955	RpII140
sesB[5]	FBal0015438	FBgn0003360	sesB
nmo[dsRNA.197-669]	FBal0123770	FBgn0011817	nmo
hth[Meis1-P2]	FBal0044937	FBgn0001235	hth
Dark[CD8]	FBal0101816	FBgn0263864	Dark
CadN[42S13]	FBal0176325	FBgn0015609	CadN
mthl2[e01373]	FBal0158917	FBgn0035623	mthl2
l(2)38Eb[54]	FBal0091351	FBgn0025163	l(2)38Eb
N[2:8A]	FBal0042681	FBgn0004647	N
otk[2]	FBal0127921	FBgn0004839	otk
sinah[SH]	FBal0216916	FBgn0259794	sinah
Lig4[5]	FBal0155039	FBgn0030506	Lig4
ltl[c06895]	FBal0161661	FBgn0268063	ltl
l(2)SH0610[SH0610]	FBal0143944	FBgn0065707	l(2)SH0610
Scer\GAL4[esg-NP5130]	FBal0098823	FBgn0014445	Scer\GAL4
dp[lv2]	unknown ID	-	-
bcd[25]	FBal0034227	FBgn0000166	bcd
Su(tor)2-341[1]	FBal0034057	FBgn0014054	Su(tor)2-341
l(2)SH0366[SH0366]	FBal0144059	FBgn0065822	l(2)SH0366
Sdc[CC00871]	FBal0211734	FBgn0010415	Sdc
Mef2[26-6]	FBal0156255	FBgn0011656	Mef2
l(2)45Bc[4]	FBal0104503	FBgn0022166	l(2)45Bc
Cpsf100[GD14966]	FBal0202206	FBgn0027873	Cpsf100
l(3)S124310b[S124310b]	FBal0129402	FBgn0060440	l(3)S124310b
l(2)39DEi[D241]	FBal0049792	FBgn0016884	l(2)39DEi
Pgk[AD13]	FBal0031652	FBgn0250906	Pgk
ct[db11]	FBal0001964	FBgn0004198	ct
kis[s3527]	FBal0009311	FBgn0266557	kis
eIF-4a[02623]	FBal0042532	FBgn0001942	eIF-4a
Hsp83[P582]	FBal0060640	FBgn0001233	Hsp83
ck[PL00069]	FBal0159399	FBgn0000317	ck
en::ftz[EFEDelta3.hs]	FBal0057497	FBgn0015386	en::ftz
cic[D49]	FBal0029622	FBgn0262582	cic
SsRbeta[s1939]	FBal0011142	FBgn0011016	SsRbeta
Dbus\Ab[1]	FBal0054931	FBgn0019418	Dbus\Ab
BG02209[BG02209]	FBal0195620	FBgn0086395	BG02209
l(3)E47[GL26]	FBal0264989	FBgn0263896	l(3)E47
l(1)TK238[1]	FBal0043331	FBgn0005746	l(1)TK238
csk[1]	unknown ID	-	-
bs[03267]	FBal0008021	FBgn0004101	bs
CG7110[EY07530]	FBal0161073	FBgn0032521	CG7110
Mhc[ifm(2)RU2-5]	FBal0101374	FBgn0264695	Mhc
jigr1[EY06847]	FBal0162045	FBgn0039350	jigr1
l(2)37Bb[3]	FBal0008610	FBgn0002021	l(2)37Bb
Efr[PL76]	FBal0131500	FBgn0029849	Efr
l(2)SH1806[SH1806]	FBal0143587	FBgn0065350	l(2)SH1806
CG3812[e03305]	FBal0161452	FBgn0030421	CG3812
l(1)Yi29[1]	FBal0007939	FBgn0001881	l(1)Yi29
Men[Ex60-]	FBal0266048	FBgn0002719	Men
l(4)102CDk[1]	FBal0011465	FBgn0004529	l(4)102CDk
l(3)S091014[S091014]	FBal0099988	FBgn0028066	l(3)S091014
l(3)S028206b[S028206b]	FBal0129957	FBgn0060985	l(3)S028206b
dlg1[PG100]	FBal0130428	FBgn0001624	dlg1
brat[22]	FBal0001247	FBgn0010300	brat
On[1]	FBal0013263	FBgn0003000	On
CG34367[f00117]	FBal0162395	FBgn0085396	CG34367
l(3)85Fe[1]	FBal0010285	FBgn0005552	l(3)85Fe
ban[12]	FBal0243239	FBgn0262451	ban
Psn[12]	FBal0097198	FBgn0019947	Psn
kn[KN2]	FBal0082868	FBgn0001319	kn
ct[268-42]	FBal0001947	FBgn0004198	ct
hk[11]	unknown ID	-	-
Opl[SC1]	FBal0048892	FBgn0016690	Opl
br[npr-3]	FBal0013157	FBgn0283451	br
l(2)gl[a10]	FBal0216817	FBgn0002121	l(2)gl
Ace[j27]	FBal0000201	FBgn0000024	Ace
Jra[IA109]	FBal0009252	FBgn0001291	Jra
Con[Fvex236]	FBal0048134	FBgn0005775	Con
Hs3st-A[d07752]	FBal0161542	FBgn0053147	Hs3st-A
Trpm[2]	FBal0244771	FBgn0265194	Trpm
Rm62[H]	FBal0038893	FBgn0003261	Rm62
l(3)68Ab[3]	FBal0009792	FBgn0002222	l(3)68Ab
Hr46[EY10268]	FBal0160321	FBgn0000448	Hr46
vn[1]	FBal0018018	FBgn0003984	vn
dp[lvDG3]	unknown ID	-	-
Zzzz\ZFN[hs.bwB]	FBal0193179	FBgn0063890	Zzzz\ZFN
Fer2LCH[s2083]	FBal0011144	FBgn0015221	Fer2LCH
l(1)XR49[XR49]	FBal0057122	FBgn0019730	l(1)XR49
pum[CC00479]	FBal0211804	FBgn0003165	pum
X-87-21[X-87-21]	FBal0155677	FBgn0069303	X-87-21
Ubx[HC180Bbeta]	FBal0119349	FBgn0003944	Ubx
Kdm4B[EY10737]	FBal0161532	FBgn0053182	Kdm4B
Eip71CD[EY05753]	FBal0160502	FBgn0000565	Eip71CD
l(2)SH1949[SH1949]	FBal0143548	FBgn0065311	l(2)SH1949
l(1)10Bq[HM10]	FBal0051469	FBgn0017396	l(1)10Bq
cas[j1C2]	FBal0010899	FBgn0004878	cas
hb[NRE7]	FBal0043118	FBgn0001180	hb
l(1)6Eb[2]	FBal0007091	FBgn0001426	l(1)6Eb
tai[k00813]	FBal0064774	FBgn0041092	tai
l(2)22Ak[M101]	FBal0103698	FBgn0040128	l(2)22Ak
hoip[k07104]	FBal0043122	FBgn0015393	hoip
Nf1[P2]	FBal0061707	FBgn0015269	Nf1
Gdi[AK307]	FBal0044840	FBgn0004868	Gdi
l(3)S047418[S047418]	FBal0100092	FBgn0028142	l(3)S047418
dpp[100]	FBal0045507	FBgn0000490	dpp
Gug[rO116]	FBal0011127	FBgn0010825	Gug
CG6686[GD10583]	FBal0205169	FBgn0032388	CG6686
cic[CC00526]	FBal0211646	FBgn0262582	cic
stau[2R-302-27]	FBal0154472	FBgn0003520	stau
pic[21]	FBal0013814	FBgn0260962	pic
l(3)S100309b[S100309b]	FBal0129500	FBgn0060538	l(3)S100309b
l(2)SH0433[SH0433]	FBal0144024	FBgn0065787	l(2)SH0433
tay[EM48]	FBal0039475	FBgn0260938	tay
kis[8]	FBal0005700	FBgn0266557	kis
Dfd[rv3]	FBal0002392	FBgn0000439	Dfd
l(1)m-C[40]	FBal0045934	FBgn0015958	l(1)m-C
dp[lvem1]	unknown ID	-	-
pnt[unspecified]	FBal0082324	FBgn0003118	pnt
oaf[T3]	FBal0039703	FBgn0011818	oaf
vkg[sz-6]	FBal0008328	FBgn0016075	vkg
l(3)S044402[S044402]	FBal0082426	FBgn0060895	l(3)S044402
Fs(2)Ket[RX2]	FBal0089685	FBgn0262743	Fs(2)Ket
l(2)SH1722[SH1722]	FBal0143602	FBgn0065365	l(2)SH1722
Atpalpha[EY13069]	FBal0188145	FBgn0002921	Atpalpha
pic[13]	FBal0013806	FBgn0260962	pic
l(3)j2D5[j2D5]	FBal0086980	FBgn0024523	l(3)j2D5
zfh2[7-M547]	FBal0295250	FBgn0004607	zfh2
nej[0.3]	FBal0256966	FBgn0261617	nej
CG6910[f01770]	FBal0161099	FBgn0036262	CG6910
2L0419[2L0419]	FBal0218452	FBgn0260121	2L0419
Trxr-1[PL98]	FBal0130556	FBgn0020653	Trxr-1
pAbp[37-2]	FBal0263837	FBgn0265297	pAbp
os[upd-2]	unknown ID	-	-
RhoGAP18B[PG43]	FBal0131395	FBgn0261461	RhoGAP18B
XRCC1[f03685]	FBal0159533	FBgn0026751	XRCC1
l(3)85Ag[1]	FBal0010212	FBgn0002316	l(3)85Ag
l(1)2Fb[9]	FBal0006738	FBgn0001399	l(1)2Fb
tefu[atm-7]	FBal0175411	FBgn0045035	tefu
hop[hs.PH]	FBal0043131	FBgn0004864	hop
hh[A]	FBal0031480	FBgn0004644	hh
l(3)89Ea[M182]	FBal0093931	FBgn0005557	l(3)89Ea
bs[14]	FBal0039185	FBgn0004101	bs
l(1)TK401[1]	FBal0043342	FBgn0005757	l(1)TK401
brm[GD4507]	FBal0209177	FBgn0000212	brm
LamC[hs.PS]	FBal0097229	FBgn0010397	LamC
dp[lvDG24I]	unknown ID	-	-
E(gl)2E[SC1]	FBal0048688	FBgn0016629	E(gl)2E
Npc2b[18]	FBal0221252	FBgn0038198	Npc2b
Alp[DTD57]	FBal0027958	FBgn0000069	Alp
dyl[c02647]	FBal0159296	FBgn0066365	dyl
Sxl[fP3G2]	FBal0016690	FBgn0264270	Sxl
okr[17-11]	FBal0060589	FBgn0002989	okr
mat(3)1[1]	FBal0012098	FBgn0002683	mat(3)1
l(3)SG83[1]	FBal0011342	FBgn0005263	l(3)SG83
dsp[EH654]	FBal0031087	FBgn0000501	dsp
Wnk[MB06499]	FBal0218756	FBgn0037098	Wnk
l(2)57Dd[2]	FBal0009166	FBgn0002103	l(2)57Dd
Nup160[EP372M206]	FBal0277090	FBgn0262647	Nup160
Mob4[EYDeltaHV1223]	FBal0246737	FBgn0259483	Mob4
h[2]	FBal0005319	FBgn0001168	h
Hsf[3]	FBal0044863	FBgn0001222	Hsf
tll[8]	FBal0032875	FBgn0003720	tll
Cas[ts28]	FBal0136103	FBgn0022213	Cas
Adam[5-3]	FBal0043595	FBgn0027619	Adam
phl[5]	unknown ID	-	-
CG3632[e04331]	FBal0161479	FBgn0030735	CG3632
NT5E-2[d00824]	FBal0161873	FBgn0050104	NT5E-2
tdd[1]	FBal0016749	FBgn0003678	tdd
mei-218[621]	FBal0284459	FBgn0002709	mei-218
l(2)SH0238[SH0238]	FBal0144116	FBgn0065879	l(2)SH0238
l(2)SH0030[SH0030]	FBal0144199	FBgn0065962	l(2)SH0030
l(2)24EFc[15]	FBal0008255	FBgn0005505	l(2)24EFc
aPKC[k06403]	FBal0064438	FBgn0261854	aPKC
ush[EX1]	FBal0243661	FBgn0003963	ush
l(3)63Bd[4]	FBal0031846	FBgn0002193	l(3)63Bd
osa[1]	FBal0013298	FBgn0261885	osa
CG2316[f00836]	FBal0161923	FBgn0039890	CG2316
velo[LL05209]	FBal0270271	FBgn0035713	velo
sno[GD12727]	FBal0210642	FBgn0265630	sno
Scer\GAL4[l(1)G0469-PG19]	FBal0130729	FBgn0014445	Scer\GAL4
sl[3]	FBal0015679	FBgn0003416	sl
kis[04256]	FBal0043465	FBgn0266557	kis
CG31851[f03572]	FBal0161751	FBgn0051851	CG31851
Sdc[k10215]	FBal0043489	FBgn0010415	Sdc
gig[273]	FBal0095404	FBgn0005198	gig
CycB[CC01846]	FBal0211671	FBgn0000405	CycB
Pu[Z22]	FBal0033971	FBgn0003162	Pu
Cip4[CC01311]	FBal0212021	FBgn0035533	Cip4
IntS6[EY03358]	FBal0159099	FBgn0261383	IntS6
l(1)air7[10]	FBal0007204	FBgn0001433	l(1)air7
l(3)SH106[SH106]	FBal0143372	FBgn0065140	l(3)SH106
Dlic[G0065]	FBal0098212	FBgn0030276	Dlic
amd[37]	FBal0000486	FBgn0000075	amd
Nsf2[urd-2]	FBal0017642	FBgn0266464	Nsf2
salm[2]	FBal0015125	FBgn0261648	salm
klar[marb-BX3]	FBal0039638	FBgn0001316	klar
tj[z3434]	FBal0177450	FBgn0000964	tj
l(2)46DEc[260]	FBal0045995	FBgn0015965	l(2)46DEc
kay[EY01644]	FBal0147088	FBgn0001297	kay
fne[KOZ40]	FBal0279588	FBgn0086675	fne
amn[PL15]	FBal0130517	FBgn0086782	amn
D[4rv36]	FBal0029142	FBgn0000411	D
CG31688[S506]	FBal0268831	FBgn0263355	CG31688
l(1)6Ed[4]	FBal0007095	FBgn0001427	l(1)6Ed
msl-1[gamma216]	FBal0035232	FBgn0005617	msl-1
comt[133]	FBal0128025	FBgn0000346	comt
Act88F[6]	FBal0000272	FBgn0000047	Act88F
l(1)2Cd[1]	FBal0006697	FBgn0001392	l(1)2Cd
Eip75B[18]	FBal0003602	FBgn0000568	Eip75B
mrn[6]	FBal0012439	FBgn0261109	mrn
l(3)72Fb[209]	FBal0092890	FBgn0025505	l(3)72Fb
l(2)37De[17]	FBal0008842	FBgn0002041	l(2)37De
egh[M36]	FBal0089318	FBgn0001404	egh
l(3)87Db[S009113a]	FBal0082769	FBgn0002350	l(3)87Db
SkpA[G0037]	FBal0096852	FBgn0025637	SkpA
ct[268-17]	FBal0028067	FBgn0004198	ct
mir-11[KO.w-]	FBal0268278	FBgn0262434	mir-11
stout[14]	FBal0007114	FBgn0001428	stout
how[e44]	FBal0060395	FBgn0264491	how
Cct5[k09720]	FBal0064700	FBgn0010621	Cct5
CSN5[quo-3]	FBal0145141	FBgn0027053	CSN5
Rok[2]	FBal0122918	FBgn0026181	Rok
mbf1[1]	FBal0158968	FBgn0262732	mbf1
Dsim\M(2)1[1]	FBal0053416	FBgn0018318	Dsim\M(2)1
if[9]	FBal0089202	FBgn0001250	if
N[DeltaLN.hs]	FBal0033808	FBgn0004647	N
Dhyd\ss[a]	FBal0054354	FBgn0019046	Dhyd\ss
mam[3]	FBal0012011	FBgn0002643	mam
S(CycE[JP])3.2[59S26]	FBal0175980	FBgn0082626	S(CycE[JP])3.2
pyd3[Lb5]	FBal0196003	FBgn0037513	pyd3
l(2)gl[a14]	FBal0216821	FBgn0002121	l(2)gl
CG5149[e03983]	FBal0161318	FBgn0031904	CG5149
tacc[stella592]	FBal0146762	FBgn0026620	tacc
gro[B93]	FBal0031416	FBgn0001139	gro
Dkik\Bd-b[1]	FBal0054228	FBgn0018968	Dkik\Bd-b
Brd[3rv1]	FBal0055339	FBgn0000216	Brd
mwr[1]	FBal0056464	FBgn0019668	mwr
l(4)102Fe[BQ]	FBal0126358	FBgn0045848	l(4)102Fe
Ras85D[V12.Scer\UAS]	FBal0060587	FBgn0003205	Ras85D
l(1)G0175[G0175]	FBal0100341	FBgn0028349	l(1)G0175
CG15784[d07076]	FBal0162130	FBgn0029766	CG15784
lama[EY01334]	FBal0159009	FBgn0016031	lama
eo[14-1]	unknown ID	-	-
E(rst)C45[C45]	FBal0122250	FBgn0044103	E(rst)C45
x16[CB03248]	FBal0211827	FBgn0028554	x16
l(3)S082908a[S082908a]	FBal0129625	FBgn0060655	l(3)S082908a
grp[Z5170]	FBal0197285	FBgn0261278	grp
ewg[11]	FBal0003897	FBgn0005427	ewg
sic[4]	FBal0015651	FBgn0003406	sic
sgg[23]	FBal0015501	FBgn0003371	sgg
wds[17]	FBal0006810	FBgn0040066	wds
N[81k4]	FBal0012733	FBgn0004647	N
E(rst)C41[C41]	FBal0122252	FBgn0044105	E(rst)C41
grau[RG1]	FBal0049602	FBgn0001133	grau
l(3)S010917b[S010917b]	FBal0130066	FBgn0061094	l(3)S010917b
kn[col-1]	FBal0097027	FBgn0001319	kn
l(1)M96[1]	FBal0007656	FBgn0001787	l(1)M96
Top3alpha[EP2272]	FBal0130565	FBgn0040268	Top3alpha
Parp[c03256]	FBal0246167	FBgn0010247	Parp
zpg[z-2552]	FBal0138098	FBgn0024177	zpg
l(3)85Af[2]	FBal0010206	FBgn0002315	l(3)85Af
ph-d[501]	FBal0013755	FBgn0004860	ph-d
cpo[06130]	FBal0042935	FBgn0263995	cpo
mbl[chst-exC99]	FBal0241509	FBgn0265487	mbl
mys[b7]	FBal0138193	FBgn0004657	mys
l(2)k04206[k04206]	FBal0093949	FBgn0025774	l(2)k04206
DNApol-gamma35[1]	FBal0008425	FBgn0004407	DNApol-gamma35
CG17734[EY06693]	FBal0162021	FBgn0037890	CG17734
CG15766[d06145]	FBal0162135	FBgn0029813	CG15766
PI4KIIIalpha[20]	FBal0006884	FBgn0267350	PI4KIIIalpha
ras[126]	FBal0062490	FBgn0003204	ras
l(2)SH0921[SH0921]	FBal0143821	FBgn0065584	l(2)SH0921
Cap-G[K2]	FBal0176322	FBgn0259876	Cap-G
pros[V25]	FBal0125202	FBgn0004595	pros
eas[CB02620]	FBal0211976	FBgn0000536	eas
Mesh1[5A3]	FBal0247208	FBgn0039650	Mesh1
l(1)7Ci[7-87]	FBal0043264	FBgn0015442	l(1)7Ci
l(3)R138[1]	FBal0011078	FBgn0005244	l(3)R138
l(2)24CDa[F16]	FBal0043494	FBgn0015454	l(2)24CDa
l(3)OL61[OL61]	FBal0265005	FBgn0263899	l(3)OL61
if[21]	FBal0089213	FBgn0001250	if
dwg[9]	FBal0003231	FBgn0000520	dwg
Dpau\Ccv[1]	FBal0053950	FBgn0018719	Dpau\Ccv
l(3)L5150[L5150]	FBal0032012	FBgn0013618	l(3)L5150
w[e(g)]	FBal0003306	FBgn0003996	w
pad[2]	FBal0191237	FBgn0038418	pad
l(3)05218[05218]	FBal0101293	FBgn0028591	l(3)05218
shg[R69]	FBal0092526	FBgn0003391	shg
l(3)64Ce[3-8]	FBal0049836	FBgn0016895	l(3)64Ce
rpr[hs.ORF]	FBal0050353	FBgn0011706	rpr
sab[1]	FBal0015121	FBgn0003311	sab
pins[83]	FBal0117395	FBgn0040080	pins
l(2)35Df[k14423]	FBal0008531	FBgn0001986	l(2)35Df
vtd[5]	FBal0018068	FBgn0260987	vtd
l(3)63Bb[7]	FBal0031843	FBgn0002191	l(3)63Bb
kis[k09023]	FBal0043476	FBgn0266557	kis
wor[2]	FBal0008517	FBgn0001983	wor
kz[31]	FBal0005874	FBgn0001330	kz
l(2)25Ee[3]	FBal0008366	FBgn0001932	l(2)25Ee
Nop60B[4]	FBal0094652	FBgn0259937	Nop60B
l(2)37CDc[E151]	FBal0043532	FBgn0015458	l(2)37CDc
bif[LH93]	FBal0064947	FBgn0014133	bif
l(1)12[28]	FBal0057189	FBgn0019791	l(1)12
l(3)67BDc[5]	FBal0009749	FBgn0002205	l(3)67BDc
l(1)7Be[1]	FBal0007238	FBgn0001437	l(1)7Be
Nipped-B[NC6]	FBal0244675	FBgn0026401	Nipped-B
ttk[j2A1]	FBal0010907	FBgn0003870	ttk
if[N19S]	FBal0089188	FBgn0001250	if
BG02320[BG02320]	FBal0195623	FBgn0086397	BG02320
CadN[22S9]	FBal0176326	FBgn0015609	CadN
shot[3F1-1]	FBal0266754	FBgn0013733	shot
Scer\GAL4[Dot.PK]	FBal0138419	FBgn0014445	Scer\GAL4
Dbus\Um[1]	FBal0054896	FBgn0019385	Dbus\Um
l(2)dtl[GD7261]	FBal0209861	FBgn0013548	l(2)dtl
jar[R235]	FBal0175643	FBgn0011225	jar
pll[2]	FBal0013856	FBgn0010441	pll
Med[3R-70-38]	FBal0156264	FBgn0011655	Med
Cog7[z-4495]	FBal0284626	FBgn0051040	Cog7
mam[J2-202]	FBal0221345	FBgn0002643	mam
nero[2]	FBal0240590	FBgn0261479	nero
emc[9]	FBal0003686	FBgn0000575	emc
l(3)73Aa[12]	FBal0009996	FBgn0002276	l(3)73Aa
hipk[4]	unknown ID	-	-
ird1[unspecified]	unknown ID	-	-
Dl[CB02040]	FBal0211918	FBgn0000463	Dl
mtt[f01266]	FBal0222661	FBgn0050361	mtt
zip[unspecified]	FBal0086258	FBgn0265434	zip
l(3)R73[1]	FBal0011093	FBgn0005239	l(3)R73
l(1)ts1681[1]	FBal0007839	FBgn0005486	l(1)ts1681
CG5757[EY05142]	FBal0161248	FBgn0034299	CG5757
hb[D1]	FBal0005413	FBgn0001180	hb
crb[07207]	FBal0009597	FBgn0259685	crb
bt[l-u]	FBal0028003	FBgn0005666	bt
Atpalpha[01453a]	FBal0009413	FBgn0002921	Atpalpha
Su(var)3-8[1]	FBal0016555	FBgn0003599	Su(var)3-8
scrib[c00119]	FBal0155053	FBgn0263289	scrib
Myb[el2507]	FBal0141647	FBgn0002914	Myb
Dr[ltt-EMS]	FBal0056519	FBgn0000492	Dr
Hsp22[EY09909]	FBal0176106	FBgn0001223	Hsp22
Drp1[2]	FBal0176234	FBgn0026479	Drp1
Scr[E3]	FBal0015310	FBgn0003339	Scr
mst[M204]	FBal0088786	FBgn0020272	mst
N[l1N-69e]	FBal0012885	FBgn0004647	N
Eip75B[03247]	FBal0043806	FBgn0000568	Eip75B
l(2)SH0608[SH0608]	FBal0143946	FBgn0065709	l(2)SH0608
comm[MI00380]	FBal0243074	FBgn0010105	comm
Mer[3]	FBal0061732	FBgn0086384	Mer
Sos[2L-160-32]	FBal0155799	FBgn0001965	Sos
Antp[Aus]	FBal0117929	FBgn0260642	Antp
nonC[7-24-3]	FBal0276945	FBgn0263968	nonC
dp[olvHC59]	unknown ID	-	-
l(3)CHc[2]	FBal0195764	FBgn0086419	l(3)CHc
E(z)[21]	FBal0003400	FBgn0000629	E(z)
run[E9]	FBal0032619	FBgn0003300	run
Myo31DF[L152]	FBal0195152	FBgn0086347	Myo31DF
Su(var)3-10[unspecified]	FBal0089516	FBgn0003601	Su(var)3-10
CG4743[f03065]	FBal0161370	FBgn0039357	CG4743
dp[lvDG49]	unknown ID	-	-
stnA[14]	FBal0098644	FBgn0016976	stnA
VhaM8.9[CB03837]	FBal0211896	FBgn0037671	VhaM8.9
Su(ro[DOM])2014[2014]	FBal0120597	FBgn0043557	Su(ro[DOM])2014
pros[V45]	FBal0125188	FBgn0004595	pros
MEP-1[GTD74-56]	FBal0122311	FBgn0035357	MEP-1
4EHP[e03164]	FBal0161555	FBgn0053100	4EHP
ci[Ce-2]	FBal0001657	FBgn0004859	ci
Su(hh)IV[IV]	FBal0120605	FBgn0043563	Su(hh)IV
B4[EY08576]	FBal0162779	FBgn0023407	B4
pros[V10]	FBal0125213	FBgn0004595	pros
Flo2[d06490]	FBal0160462	FBgn0264078	Flo2
pros[V8]	FBal0125163	FBgn0004595	pros
Ncc69[r2]	FBal0261184	FBgn0036279	Ncc69
sta[lp98]	FBal0032810	FBgn0003517	sta
dp[lh41]	unknown ID	-	-
spz[3R-39-28]	FBal0154487	FBgn0003495	spz
apt[KG05830]	FBal0223457	FBgn0015903	apt
Atg13[Delta74]	FBal0221507	FBgn0261108	Atg13
ptc[P66]	FBal0046329	FBgn0003892	ptc
l(2)k10004[k10004]	FBal0064232	FBgn0021970	l(2)k10004
RpL10Ab[KG09231]	FBal0148170	FBgn0036213	RpL10Ab
y[67k5]	FBal0018639	FBgn0004034	y
crp[k00809]	FBal0034997	FBgn0001994	crp
Mcm6[unspecified]	FBal0130941	FBgn0025815	Mcm6
capu[1]	FBal0001537	FBgn0000256	capu
SkpA[G0389]	FBal0100288	FBgn0025637	SkpA
N[G0064]	FBal0152378	FBgn0004647	N
l(2)k05001[k05001]	FBal0089102	FBgn0024667	l(2)k05001
Rab27[Gal4-KO]	FBal0283188	FBgn0025382	Rab27
RpII140[Z3]	FBal0030141	FBgn0262955	RpII140
fs(1)M17[1]	FBal0004347	FBgn0000834	fs(1)M17
CG14229[f07368]	FBal0162283	FBgn0031059	CG14229
l(2)k10502[k10502]	FBal0064205	FBgn0021947	l(2)k10502
Ir21a[c02720]	FBal0161914	FBgn0031209	Ir21a
pros[K816]	FBal0050293	FBgn0004595	pros
egh[25]	FBal0006854	FBgn0001404	egh
l(2)44Fa[6]	FBal0104570	FBgn0015466	l(2)44Fa
l(1)71B[MR]	FBal0057155	FBgn0019762	l(1)71B
N[Ax-42g]	FBal0038925	FBgn0004647	N
eIF-4E[S025007]	FBal0100130	FBgn0015218	eIF-4E
l(1)dd10[1]	FBal0007450	FBgn0001614	l(1)dd10
Bsg[CA06978]	FBal0211612	FBgn0261822	Bsg
noc[SZ5]	FBal0065723	FBgn0005771	noc
l(3)94Fa[T6]	FBal0035135	FBgn0014302	l(3)94Fa
p53[E8]	FBal0151647	FBgn0039044	p53
l(2)PC4-B[378]	FBal0046018	FBgn0015976	l(2)PC4-B
osk[bcd.UTR]	FBal0035318	FBgn0003015	osk
l(1)S9[1]	FBal0007806	FBgn0005121	l(1)S9
CG42235[f00513]	FBal0161822	FBgn0250757	CG42235
en[40]	FBal0003755	FBgn0000577	en
l(2)k17003[k17003]	FBal0064029	FBgn0021797	l(2)k17003
Hph[64]	FBal0240644	FBgn0264785	Hph
Abl[4]	FBal0028710	FBgn0000017	Abl
CG13618[c05519]	FBal0162348	FBgn0039203	CG13618
Dpse\M2[1]	FBal0053771	FBgn0018591	Dpse\M2
l(2)SH2138[SH2138]	FBal0143483	FBgn0065246	l(2)SH2138
egr[e1]	FBal0284058	FBgn0033483	egr
Prosbeta3[GD7449]	FBal0208130	FBgn0026380	Prosbeta3
l(2)37Fb[9]	FBal0008918	FBgn0002049	l(2)37Fb
ct[MRlL46]	FBal0002067	FBgn0004198	ct
Cam[CC00814]	FBal0211667	FBgn0000253	Cam
l(2)52AD[l16]	FBal0031751	FBgn0004166	l(2)52AD
if[L10]	FBal0089194	FBgn0001250	if
N[Lo13]	FBal0122054	FBgn0004647	N
w[Ee39]	FBal0059715	FBgn0003996	w
spen[BU720]	FBal0103539	FBgn0016977	spen
l(3)87Ee[8]	FBal0010506	FBgn0002357	l(3)87Ee
Tor[E161K]	FBal0189881	FBgn0021796	Tor
E(spl)m8-HLH[r13]	FBal0003334	FBgn0000591	E(spl)m8-HLH
l(4)102CDc[8]	FBal0011419	FBgn0004519	l(4)102CDc
l(3)SH131[SH131]	FBal0143363	FBgn0065131	l(3)SH131
zfh1[15]	FBal0033225	FBgn0004606	zfh1
CG11247[f00485]	FBal0162599	FBgn0037120	CG11247
gkt[A12]	FBal0179629	FBgn0260817	gkt
Fer1HCH[04693]	FBal0043624	FBgn0015222	Fer1HCH
ninaG[e00313]	FBal0158888	FBgn0037896	ninaG
if[1]	FBal0005579	FBgn0001250	if
dock[3]	FBal0049422	FBgn0010583	dock
l(2)32Ae[unspecified]	FBal0034975	FBgn0014244	l(2)32Ae
l(1)10Ad[S40]	FBal0043160	FBgn0001484	l(1)10Ad
fs(1)M121[1]	FBal0004336	FBgn0000911	fs(1)M121
en[63]	FBal0034463	FBgn0000577	en
l(3)s3123[s3123]	FBal0011163	FBgn0011037	l(3)s3123
lft[TG2]	FBal0241155	FBgn0032230	lft
l(1)U93[U93]	FBal0121705	FBgn0043892	l(1)U93
cact[EP]	FBal0030707	FBgn0000250	cact
Hsromega[05241-R1]	FBal0144798	FBgn0001234	Hsromega
Arpc4[w1a]	FBal0278247	FBgn0031781	Arpc4
qm[57]	FBal0091199	FBgn0019662	qm
l(3)80Ff[2]	FBal0010052	FBgn0002295	l(3)80Ff
Sdc[LL00212]	FBal0269740	FBgn0010415	Sdc
puc[E69-S]	FBal0192968	FBgn0243512	puc
brm[20]	FBal0039179	FBgn0000212	brm
S(CycE[JP])3.2[E8S13]	FBal0175977	FBgn0082626	S(CycE[JP])3.2
tsh[82]	FBal0060857	FBgn0003866	tsh
mal[3]	FBal0062579	FBgn0002641	mal
Catsup[48]	FBal0296095	FBgn0002022	Catsup
wg[l-17]	FBal0018509	FBgn0004009	wg
l(3)82CDe[l2]	FBal0092634	FBgn0084058	l(3)82CDe
lab[14]	FBal0011527	FBgn0002522	lab
l(3)68Be[3]	FBal0009831	FBgn0002238	l(3)68Be
for[k09702]	FBal0064691	FBgn0000721	for
esg[k06211]	FBal0064890	FBgn0001981	esg
pyg[2L-14]	FBal0063805	FBgn0020790	pyg
l(1)TK410[1]	FBal0043348	FBgn0005763	l(1)TK410
