# submitted_id	current_id	converted_id	current_symbol
pat[1]	FBal0013502	FBgn0003038	pat
l(2)c00221[c00221]	FBal0155062	FBgn0069195	l(2)c00221
CG1703[PL16]	FBal0131577	FBgn0030321	CG1703
vig2[PL00470]	FBal0162523	FBgn0046214	vig2
mts[05559]	FBal0048907	FBgn0004177	mts
l(1)Q4[1]	FBal0007754	FBgn0011051	l(1)Q4
l(3)87Be[7]	FBal0010374	FBgn0002336	l(3)87Be
l(2)K300[1]	FBal0009267	FBgn0002139	l(2)K300
Cam[6c4]	FBal0083597	FBgn0000253	Cam
slmb[26]	FBal0117356	FBgn0283468	slmb
cid[T11-2]	FBal0221673	FBgn0040477	cid
stnA[16-1-49]	FBal0151407	FBgn0016976	stnA
l(2)SH1938[SH1938]	FBal0143549	FBgn0065312	l(2)SH1938
Hmgcr[clb2]	FBal0094691	FBgn0263782	Hmgcr
shi[EM18]	FBal0039899	FBgn0003392	shi
Klp64D[n72]	FBal0060614	FBgn0004380	Klp64D
l(1)2Db[1]	FBal0006710	FBgn0010119	l(1)2Db
klar[EY08325]	FBal0159117	FBgn0001316	klar
Ser[rev6-1]	FBal0015432	FBgn0004197	Ser
stj[k10814]	FBal0064197	FBgn0261041	stj
nec[12]	FBal0035258	FBgn0002930	nec
l(3)64Cf[2-4]	FBal0049840	FBgn0016896	l(3)64Cf
l(2)SH0680[SH0680]	FBal0143909	FBgn0065672	l(2)SH0680
S[126]	FBal0030174	FBgn0003310	S
l(4)102ABg[8]	FBal0011394	FBgn0004535	l(4)102ABg
l(3)65ACd[J42]	FBal0043715	FBgn0015494	l(3)65ACd
htt[98E2]	FBal0241668	FBgn0027655	htt
l(3)EX-G13[11]	FBal0031991	FBgn0013611	l(3)EX-G13
DNApol-delta[2]	FBal0009912	FBgn0263600	DNApol-delta
CG14971[c02743]	FBal0162208	FBgn0035449	CG14971
tup[E20]	FBal0193934	FBgn0003896	tup
l(2)25Ca[23]	FBal0008307	FBgn0001920	l(2)25Ca
da[10]	FBal0002223	FBgn0267821	da
bun[B-181A]	FBal0221072	FBgn0259176	bun
l(1)2Fd[10]	FBal0006771	FBgn0001401	l(1)2Fd
Hexim[EY14285]	FBal0161500	FBgn0038251	Hexim
dor[25]	FBal0002753	FBgn0000482	dor
Ubc10[GD16723]	FBal0208908	FBgn0026316	Ubc10
tws[S031006]	FBal0129936	FBgn0004889	tws
l(1)9Fg[10]	FBal0007385	FBgn0001479	l(1)9Fg
Su(H)[EG37]	FBal0244435	FBgn0004837	Su(H)
nub[2]	FBal0013179	FBgn0085424	nub
l(1)18DEa[2]	FBal0061352	FBgn0020544	l(1)18DEa
l(1)ESHS28[1]	FBal0007545	FBgn0001707	l(1)ESHS28
DNApol-eta[Exc2.15]	FBal0296082	FBgn0037141	DNApol-eta
Vap-33A[c00426]	FBal0159555	FBgn0029687	Vap-33A
l(2)46Fb[21-25]	FBal0058406	FBgn0069202	l(2)46Fb
Pu[rWE67]	FBal0014045	FBgn0003162	Pu
Np[27]	FBal0137418	FBgn0265011	Np
eg[T6]	FBal0003525	FBgn0000560	eg
Lamp1[EY09768]	FBal0161564	FBgn0032949	Lamp1
l(3)S073002a[S132304a]	FBal0100032	FBgn0028099	l(3)S073002a
ctp[GD4688]	FBal0209306	FBgn0011760	ctp
betaTub60D[10]	FBal0055401	FBgn0003888	betaTub60D
baz[FA50]	FBal0260790	FBgn0000163	baz
trx[Z15]	FBal0032926	FBgn0003862	trx
l(1)ts538[1]	FBal0007863	FBgn0001834	l(1)ts538
egh[19]	FBal0006849	FBgn0001404	egh
l(3)S048518[S048518]	FBal0129822	FBgn0060850	l(3)S048518
dp[lvCS35]	unknown ID	-	-
l(1)10Ad[6]	FBal0005949	FBgn0001484	l(1)10Ad
CG10508[f00325]	FBal0162683	FBgn0037060	CG10508
l(1)J770[1]	FBal0007619	FBgn0005126	l(1)J770
eve[5]	FBal0086630	FBgn0000606	eve
l(1)1Fd[1]	FBal0006562	FBgn0001365	l(1)1Fd
fs(1)A1459[12-1444]	FBal0034632	FBgn0000779	fs(1)A1459
ct[6]	FBal0001934	FBgn0004198	ct
eIF-4a[1069]	FBal0096981	FBgn0001942	eIF-4a
Klp3A[3]	FBal0004396	FBgn0011606	Klp3A
Crag[GG43]	FBal0240376	FBgn0025864	Crag
l(2)46DEc[58]	FBal0046003	FBgn0015965	l(2)46DEc
l(2)k00808[k00808]	FBal0064607	FBgn0022259	l(2)k00808
l(3)PL13[PL13]	FBal0264946	FBgn0263879	l(3)PL13
sax[2R-306-37]	FBal0154659	FBgn0003317	sax
l(2)k09022[k09022]	FBal0064296	FBgn0086451	l(2)k09022
DNApol-alpha60[T2]	FBal0103073	FBgn0259676	DNApol-alpha60
pyd3[Lb10]	FBal0196005	FBgn0037513	pyd3
l(2)SH1056[SH1056]	FBal0143780	FBgn0065543	l(2)SH1056
ebi[W418X]	FBal0265168	FBgn0263933	ebi
cact[7]	FBal0001513	FBgn0000250	cact
msk[2]	FBal0122950	FBgn0026252	msk
Pdcd4[1]	FBal0267758	FBgn0030520	Pdcd4
l(3)j4D1[j5D1]	FBal0010972	FBgn0011367	l(3)j4D1
mys[b37]	FBal0178744	FBgn0004657	mys
Mod(var)1294[1294]	FBal0135946	FBgn0062613	Mod(var)1294
Ace[j55]	FBal0000215	FBgn0000024	Ace
v[Ee38]	FBal0059766	FBgn0003965	v
tup[1]	FBal0017279	FBgn0003896	tup
l(2)SH2085[SH2085]	FBal0143499	FBgn0065262	l(2)SH2085
Dl[eAZ18]	FBal0059118	FBgn0000463	Dl
l(3)S054515[S054515]	FBal0129782	FBgn0060811	l(3)S054515
l(1)HM442[HM442]	FBal0051440	FBgn0017377	l(1)HM442
EC4056[EC4056]	FBal0241943	FBgn0261733	EC4056
l(1)M64[1]	FBal0007646	FBgn0001779	l(1)M64
repo[64]	FBal0039835	FBgn0011701	repo
l(2)k09848[k09848]	FBal0064253	FBgn0021984	l(2)k09848
l(2)35De[1]	FBal0008526	FBgn0001985	l(2)35De
ds[05142]	FBal0000404	FBgn0000497	ds
l(3)89De[M288]	FBal0093933	FBgn0025765	l(3)89De
brm[795]	FBal0191266	FBgn0000212	brm
Egfr[15]	FBal0095741	FBgn0003731	Egfr
stmA[7]	FBal0051086	FBgn0086784	stmA
ext[1]	unknown ID	-	-
l(3)87Db[5]	FBal0010466	FBgn0002350	l(3)87Db
kcc[EY08304]	FBal0161263	FBgn0261794	kcc
fliI[M102]	FBal0089282	FBgn0000709	fliI
msl-1[Delta84C.T:Zzzz\FLAG]	FBal0103655	FBgn0005617	msl-1
S(CycE[JP])2.7[57S1]	FBal0175995	FBgn0082631	S(CycE[JP])2.7
l(2)SH0204[SH0204]	FBal0144135	FBgn0065898	l(2)SH0204
TER94[k15502]	FBal0064742	FBgn0261014	TER94
sut1[EY12588]	FBal0158595	FBgn0028563	sut1
l(1)17Ae[1]	FBal0006238	FBgn0004961	l(1)17Ae
cid[GD4436]	FBal0209256	FBgn0040477	cid
ct[J15]	FBal0001992	FBgn0004198	ct
sgg[G0263]	FBal0098139	FBgn0003371	sgg
kay[EY08232]	FBal0159127	FBgn0001297	kay
Egfr[f5]	FBal0003533	FBgn0003731	Egfr
neb[k04805]	FBal0063845	FBgn0004374	neb
PI4KIIIalpha[73]	FBal0006936	FBgn0267350	PI4KIIIalpha
Dl[KX1]	FBal0002613	FBgn0000463	Dl
CG11598[f00150]	FBal0162547	FBgn0038067	CG11598
wapl[33]	FBal0018424	FBgn0004655	wapl
trol[99]	FBal0017142	FBgn0267911	trol
sd-3[10]	FBal0151526	FBgn0067652	sd-3
l(2)25Fa[3]	FBal0008376	FBgn0001935	l(2)25Fa
comm[2]	FBal0030917	FBgn0010105	comm
l(1)7Aa[17]	FBal0007137	FBgn0001431	l(1)7Aa
wap[4]	FBal0018412	FBgn0266848	wap
w[Ee37]	FBal0059717	FBgn0003996	w
S(CycE[JP])2.6[E3S17]	FBal0176000	FBgn0082632	S(CycE[JP])2.6
Orct2[R165]	FBal0195378	FBgn0086365	Orct2
boss[4]	FBal0019771	FBgn0000206	boss
Pino[EY06995]	FBal0161377	FBgn0016926	Pino
CG2712[f08040]	FBal0161907	FBgn0024975	CG2712
crb[11A22]	FBal0001817	FBgn0259685	crb
Awh[63Ea-1]	FBal0009701	FBgn0013751	Awh
sla[4]	FBal0015685	FBgn0003418	sla
pn[2a]	FBal0013874	FBgn0003116	pn
l(1)P1[1]	FBal0007686	FBgn0001816	l(1)P1
Act5C[G0010]	FBal0152800	FBgn0000042	Act5C
l(3)A11[O49]	FBal0265003	FBgn0263897	l(3)A11
l(1)6Df[2]	FBal0007078	FBgn0001422	l(1)6Df
CG30377[d00826]	FBal0161851	FBgn0050377	CG30377
l(2)SH0127[SH0127]	FBal0144171	FBgn0065934	l(2)SH0127
Spc25[c00064]	FBal0185014	FBgn0087021	Spc25
nrd[77.3]	FBal0039695	FBgn0002967	nrd
l(3)S119005[S119005]	FBal0099916	FBgn0028004	l(3)S119005
RfC4[C2]	FBal0045037	FBgn0260985	RfC4
nero[1]	FBal0240589	FBgn0261479	nero
Dgp-1[EY11102]	FBal0160616	FBgn0027836	Dgp-1
Dkik\Sv[1]	FBal0054213	FBgn0018956	Dkik\Sv
kis[k10237]	FBal0155145	FBgn0266557	kis
nmd[rG034]	FBal0043486	FBgn0005322	nmd
mle[3]	FBal0012336	FBgn0002774	mle
l(3)S132703[S132703]	FBal0099889	FBgn0027985	l(3)S132703
l(1)9Fg[2]	FBal0007377	FBgn0001479	l(1)9Fg
l(2)34Fd[CH35]	FBal0043517	FBgn0261535	l(2)34Fd
Tm2[C10]	FBal0032024	FBgn0004117	Tm2
Spc105R[GD7306]	FBal0199438	FBgn0037025	Spc105R
kibra[1]	FBal0244819	FBgn0262127	kibra
Stat92E[EY10528]	FBal0159724	FBgn0016917	Stat92E
tor[rv27]	FBal0016949	FBgn0003733	tor
cutlet[clB13]	FBal0042965	FBgn0015376	cutlet
l(3)B55[B55]	FBal0264987	FBgn0263895	l(3)B55
l(1)MZ16[1]	FBal0049734	FBgn0016829	l(1)MZ16
Sxl[f1]	FBal0016680	FBgn0264270	Sxl
pnr[D2R+1]	FBal0051280	FBgn0003117	pnr
pop[1]	FBal0013926	FBgn0003125	pop
l(2)SH1397[SH1397]	FBal0143689	FBgn0065452	l(2)SH1397
JIL-1[1]	FBal0016508	FBgn0020412	JIL-1
l(2)44Ea[3]	FBal0104582	FBgn0041137	l(2)44Ea
Taf4[C22]	FBal0264970	FBgn0010280	Taf4
dp[olvDG32]	unknown ID	-	-
Apc2[e90]	FBal0193605	FBgn0026598	Apc2
Bit[1]	FBal0001152	FBgn0004981	Bit
Dsim\Sw[1]	FBal0053407	FBgn0018307	Dsim\Sw
fra::robo[SD.-loxP]	unknown ID	-	-
esg[k07018]	FBal0095425	FBgn0001981	esg
en[48]	FBal0003763	FBgn0000577	en
l(3)70Ab[2]	FBal0009903	FBgn0002274	l(3)70Ab
mal[30]	FBal0011991	FBgn0002641	mal
N[FX7]	FBal0012773	FBgn0004647	N
NK7.1[EY06677]	FBal0160152	FBgn0024321	NK7.1
l(1)6PP7[1]	FBal0031573	FBgn0013489	l(1)6PP7
msl-1[C.hs.T:Zzzz\FLAG]	FBal0103653	FBgn0005617	msl-1
Ddc[2]	FBal0002251	FBgn0000422	Ddc
CG6330[PL00471]	FBal0161165	FBgn0039464	CG6330
fliI[2:19B]	FBal0031278	FBgn0000709	fliI
dom[11]	FBal0123012	FBgn0020306	dom
Wnt2[O]	FBal0089483	FBgn0004360	Wnt2
