#SUBMITTED ID	FBID_KEY	CLASSICAL_ALLELES	GENE_MODEL_STATUS	SPECIES	SYMBOL
CG33325	FBgn0053325	CG33325[MI02541]	Current	melanogaster	CG33325
CG3332	FBgn0031514	-	Current	melanogaster	CG3332
CG33331	FBgn0067628	CG33331[MI02563]	Current	melanogaster	CG33331
CG33332	FBgn0067629	CG33332[MI02563] <newline> CG33332[MI14911]	Current	melanogaster	CG33332
CG33333	FBgn0053333	-	Current	melanogaster	CG33333
CG33340	FBgn0053340	-	Current	melanogaster	CG33340
CG33346	FBgn0053346	CG33346[iso-1] <newline> CG33346[MI02377]	Current	melanogaster	CG33346
CG3337	FBgn0038871	-	Current	melanogaster	CG3337
CG3339	FBgn0039510	CG3339[EY03329] <newline> CG3339[f01694] <newline> CG3339[MI00332] <newline> CG3339[MI00332-GFSTF.2]	Current	melanogaster	CG3339
CG3342	FBgn0029874	CG3342[f02379]	Current	melanogaster	CG3342
CG3344	FBgn0035154	CG3344[Df5] <newline> CG3344[KG05272] <newline> CG3344[MI04821] <newline> CG3344[2175-G4]	Current	melanogaster	CG3344
CG33453	FBgn0053453	-	Current	melanogaster	CG33453
CG33458	FBgn0053458	CG33458[MB06740]	Current	melanogaster	CG33458
CG3345	FBgn0031240	CG3345[f02260] <newline> CG3345[f06644] <newline> CG3345[f03292]	Current	melanogaster	CG3345
CG33462	FBgn0053462	-	Current	melanogaster	CG33462
CG33468	FBgn0053468	CG33468[c02637] <newline> CG33468[e01622] <newline> CG33468[e02249] <newline> CG33468[e04633]	Current	melanogaster	CG33468
CG33474	FBgn0053474	-	Current	melanogaster	CG33474
CG3347	FBgn0031513	CG3347[KG05281] <newline> CG3347[KG08531]	Current	melanogaster	CG3347
CG33489	FBgn0053489	CG33489[PL00545] <newline> CG33489[MI12934]	Current	melanogaster	CG33489
CG3348	FBgn0040609	-	Current	melanogaster	CG3348
CG33490	FBgn0053490	-	Current	melanogaster	CG33490
CG33493	FBgn0053493	-	Current	melanogaster	CG33493
CG33494	FBgn0053494	CG33494[MI07259] <newline> CG33494[f07106]	Current	melanogaster	CG33494
CG3349	FBgn0036459	-	Current	melanogaster	CG3349
CG33506	FBgn0053506	-	Current	melanogaster	CG33506
CG33509	FBgn0053509	-	Current	melanogaster	CG33509
CG33510	FBgn0053510	CG33510[MI07890] <newline> CG33510[MI07890-GFSTF.1]	Current	melanogaster	CG33510
CG33511	FBgn0053511	CG33511[iso-1] <newline> CG33511[MI04034]	Current	melanogaster	CG33511
CG33514	FBgn0053514	-	Current	melanogaster	CG33514
CG33521	FBgn0250819	CG33521[MI13031]	Current	melanogaster	CG33521
CG33523	FBgn0053523	CG33523[EP3539] <newline> CG33523[EP3647] <newline> CG33523[EP3648] <newline> CG33523[c03097] <newline> CG33523[c04974] <newline> CG33523[c05404] <newline> CG33523[e03176] <newline> CG33523[EY01207] <newline> CG33523[BG01697] <newline> CG33523[G4280] <newline> CG33523[MI09717] <newline> CG33523[NP4600] <newline> CG33523[d00629] <newline> CG33523[d01677] <newline> CG33523[d03153] <newline> CG33523[d03649] <newline> CG33523[d08784]	Current	melanogaster	CG33523
CG33543	FBgn0053543	CG33543[MI02791] <newline> CG33543[MI02791-GFSTF.1]	Current	melanogaster	CG33543
CG33552	FBgn0053552	CG33552[e00087]	Current	melanogaster	CG33552
CG33557	FBgn0053557	-	Current	melanogaster	CG33557
CG3355	FBgn0031619	-	Current	melanogaster	CG3355
CG3356	FBgn0034989	-	Current	melanogaster	CG3356
CG33635	FBgn0053635	-	Current	melanogaster	CG33635
CG33639	FBgn0053639	CG33639[MB04209] <newline> CG33639[MI15515]	Current	melanogaster	CG33639
CG33641	FBgn0053641	-	Current	melanogaster	CG33641
CG33642	FBgn0053642	-	Current	melanogaster	CG33642
CG33643	FBgn0053643	CG33643[MI08790]	Current	melanogaster	CG33643
CG33644	FBgn0053644	-	Current	melanogaster	CG33644
CG33680	FBgn0053680	CG33680[f01294]	Current	melanogaster	CG33680
CG33688	FBgn0053688	CG33688[MI12899]	Current	melanogaster	CG33688
CG3368	FBgn0039508	CG3368[EY20150] <newline> CG3368[EP752]	Current	melanogaster	CG3368
CG33704	FBgn0053704	CG33704[MB06800]	Current	melanogaster	CG33704
CG33710	FBgn0053710	-	Current	melanogaster	CG33710
CG33713	FBgn0064116	CG33713[GS1189] <newline> CG33713[KG06423] <newline> CG33713[GG01681]	Current	melanogaster	CG33713
CG33722	FBgn0064126	CG33722[e03518]	Current	melanogaster	CG33722
CG33723	FBgn0053723	-	Current	melanogaster	CG33723
CG33766	FBgn0053766	-	Current	melanogaster	CG33766
CG33768	FBgn0053768	CG33768[MI03321]	Current	melanogaster	CG33768
CG3376	FBgn0034997	CG3376[d09724] <newline> CG3376[NP5300]	Current	melanogaster	CG3376
CG33770	FBgn0053770	-	Current	melanogaster	CG33770
CG33771	FBgn0053771	-	Current	melanogaster	CG33771
CG33772	FBgn0053772	CG33772[MI08942]	Current	melanogaster	CG33772
CG33795	FBgn0053795	-	Current	melanogaster	CG33795
CG33798	FBgn0053798	-	Current	melanogaster	CG33798
CG3386	FBgn0035152	CG3386[EP3599] <newline> CG3386[EY06497] <newline> CG3386[d00134] <newline> CG3386[5-HA-1830] <newline> CG3386[0747-G4]	Current	melanogaster	CG3386
CG33922	FBgn0053922	CG33922[MI04222]	Current	melanogaster	CG33922
CG3394	FBgn0034999	-	Current	melanogaster	CG3394
CG33958	FBgn0053958	CG33958[f05138] <newline> CG33958[MI13815]	Current	melanogaster	CG33958
CG33966	FBgn0053966	CG33966[MB08778]	Current	melanogaster	CG33966
CG33969	FBgn0053969	CG33969[EY20583]	Current	melanogaster	CG33969
CG33970	FBgn0053970	CG33970[MB00606] <newline> CG33970[f04675] <newline> CG33970[MI04364] <newline> CG33970[MI04415] <newline> CG33970[MI09814]	Current	melanogaster	CG33970
CG33993	FBgn0053993	CG33993[MB03752] <newline> CG33993[0065-G4]	Current	melanogaster	CG33993
CG34021	FBgn0054021	CG34021[d09785a] <newline> CG34021[k11404]	Current	melanogaster	CG34021
CG3402	FBgn0035148	CG3402[MI11410]	Current	melanogaster	CG3402
CG34056	FBgn0054056	CG34056[MI09305]	Current	melanogaster	CG34056
CG3407	FBgn0031573	-	Current	melanogaster	CG3407
CG3408	FBgn0036008	CG3408[EP3604] <newline> CG3408[EY05084] <newline> CG3408[d01628] <newline> CG3408[f06918] <newline> CG3408[05] <newline> CG3408[d07324]	Current	melanogaster	CG3408
CG3409	FBgn0033095	CG3409[MB04207] <newline> CG3409[CB04412] <newline> CG3409[DG03307] <newline> CG3409[c01186] <newline> CG3409[c04303] <newline> CG3409[f00873] <newline> CG3409[f03907] <newline> CG3409[KG03625] <newline> CG3409[NP0772] <newline> CG3409[NP1374] <newline> CG3409[NP3576] <newline> CG3409[KG04517] <newline> CG3409[MI15450] <newline> CG3409[0420-G4] <newline> CG3409[1410-G4]	Current	melanogaster	CG3409
CG34109	FBgn0083945	CG34109[MB02927] <newline> CG34109[f00038] <newline> CG34109[MI08574] <newline> CG34109[MI10808] <newline> CG34109[0465-G4]	Current	melanogaster	CG34109
CG34113	FBgn0083949	CG34113[MB00875] <newline> CG34113[MB04218] <newline> CG34113[MI01139] <newline> CG34113[MB04817] <newline> CG34113[MI03649] <newline> CG34113[f02852] <newline> CG34113[PL00001] <newline> CG34113[MI02408] <newline> CG34113[MI02420] <newline> CG34113[MI01139-GFSTF.1]	Current	melanogaster	CG34113
CG34114	FBgn0083950	CG34114[MI01052] <newline> CG34114[MI03149] <newline> CG34114[f07129] <newline> CG34114[MB00468] <newline> CG34114[MI12999] <newline> CG34114[MI13088] <newline> CG34114[MI01052-GFSTF.1]	Current	melanogaster	CG34114
CG34115	FBgn0083951	CG34115[07806]	Current	melanogaster	CG34115
CG34120	FBgn0083956	CG34120[MI09942] <newline> CG34120[MB05594] <newline> CG34120[EP1584] <newline> CG34120[e03894] <newline> CG34120[e04382] <newline> CG34120[f03726] <newline> CG34120[f03967] <newline> CG34120[NP0072] <newline> CG34120[d04446]	Current	melanogaster	CG34120
CG34124	FBgn0083960	CG34124[c05343] <newline> CG34124[f07566] <newline> CG34124[MI04806]	Current	melanogaster	CG34124
CG34126	FBgn0083962	CG34126[f05168] <newline> CG34126[MB06705] <newline> CG34126[C575] <newline> CG34126[MI10586] <newline> CG34126[MI10586-TG4.2]	Current	melanogaster	CG34126
CG34129	FBgn0083965	-	Current	melanogaster	CG34129
CG34130	FBgn0083966	CG34130[MI06387]	Current	melanogaster	CG34130
CG34133	FBgn0083969	CG34133[c01857] <newline> CG34133[c02849] <newline> CG34133[NP4435] <newline> CG34133[G18639]	Current	melanogaster	CG34133
CG34140	FBgn0083976	CG34140[EY08642] <newline> CG34140[MI13739]	Current	melanogaster	CG34140
CG34168	FBgn0085197	CG34168[f02253]	Current	melanogaster	CG34168
CG34195	FBgn0085224	CG34195[e00158] <newline> CG34195[c04871]	Current	melanogaster	CG34195
CG3420	FBgn0033100	-	Current	melanogaster	CG3420
CG34227	FBgn0085256	-	Current	melanogaster	CG34227
CG34253	FBgn0085282	CG34253[MI02065]	Current	melanogaster	CG34253
CG34276	FBgn0085305	-	Current	melanogaster	CG34276
CG34281	FBgn0085310	-	Current	melanogaster	CG34281
CG34282	FBgn0085311	-	Current	melanogaster	CG34282
CG34309	FBgn0259831	-	Current	melanogaster	CG34309
CG3430	FBgn0031875	CG3430[EY09811]	Current	melanogaster	CG3430
CG34325	FBgn0085354	CG34325[f05802] <newline> CG34325[MB05200]	Current	melanogaster	CG34325
CG34327	FBgn0085356	-	Current	melanogaster	CG34327
CG34330	FBgn0085359	-	Current	melanogaster	CG34330
CG34331	FBgn0085360	-	Current	melanogaster	CG34331
CG34342	FBgn0085371	CG34342[c04626] <newline> CG34342[MI07055] <newline> CG34342[MI06904]	Current	melanogaster	CG34342
CG34345	FBgn0085374	CG34345[MI09772]	Current	melanogaster	CG34345
CG34347	FBgn0085376	CG34347[c00237] <newline> CG34347[MB03386] <newline> CG34347[c00307] <newline> CG34347[c00677] <newline> CG34347[c03532] <newline> CG34347[e00478] <newline> CG34347[f03007] <newline> CG34347[d01778] <newline> CG34347[d08072] <newline> CG34347[MI01083] <newline> CG34347[MI12411] <newline> CG34347[MI05743] <newline> CG34347[0423-G4] <newline> CG34347[1156-G4]	Current	melanogaster	CG34347
CG34348	FBgn0085377	-	Current	melanogaster	CG34348
CG3434	FBgn0036000	CG3434[EY01758]	Current	melanogaster	CG3434
CG34351	FBgn0085380	CG34351[MI14800] <newline> CG34351[MI02190] <newline> CG34351[f03181] <newline> CG34351[f07515]	Current	melanogaster	CG34351
CG34353	FBgn0085382	CG34353[Rt1b1437] <newline> CG34353[MI03249] <newline> CG34353[MI13705] <newline> CG34353[MB08498] <newline> CG34353[G6] <newline> CG34353[MI03986] <newline> CG34353[PL00022] <newline> CG34353[MI03249-GFSTF.0]	Current	melanogaster	CG34353
CG34355	FBgn0085384	CG34355[MB03916] <newline> CG34355[c01543] <newline> CG34355[c03287] <newline> CG34355[f01918] <newline> CG34355[MI01021] <newline> CG34355[EP3572] <newline> CG34355[f01759] <newline> CG34355[G16604] <newline> CG34355[MI15467] <newline> CG34355[G14521] <newline> CG34355[0992-G4]	Current	melanogaster	CG34355
CG34357	FBgn0085386	CG34357[MI07407] <newline> CG34357[MI01718] <newline> CG34357[DG38108] <newline> CG34357[KG03753] <newline> CG34357[MI03712] <newline> CG34357[MI04472] <newline> CG34357[MI07824] <newline> CG34357[BG00845] <newline> CG34357[C011] <newline> CG34357[e01347] <newline> CG34357[f00382] <newline> CG34357[f02497] <newline> CG34357[f03371] <newline> CG34357[f04628] <newline> CG34357[f04648] <newline> CG34357[f04689] <newline> CG34357[f05887] <newline> CG34357[f06014] <newline> CG34357[EY13598] <newline> CG34357[EY21024] <newline> CG34357[NP0270] <newline> CG34357[MI05532] <newline> CG34357[MI10947] <newline> CG34357[MI04472-GFSTF.1] <newline> CG34357[0063-G4] <newline> CG34357[2155-G4]	Current	melanogaster	CG34357
CG34367	FBgn0085396	CG34367[f00117] <newline> CG34367[MI06479]	Current	melanogaster	CG34367
CG3436	FBgn0031229	CG3436[LA00324]	Current	melanogaster	CG3436
CG34370	FBgn0085399	CG34370[MB00122] <newline> CG34370[MI08399] <newline> CG34370[MI09268] <newline> CG34370[MI02745] <newline> CG34370[f06553] <newline> CG34370[MI04958] <newline> CG34370[MI04958-GFSTF.1]	Current	melanogaster	CG34370
CG34371	FBgn0085400	CG34371[G8004] <newline> CG34371[c01679] <newline> CG34371[MB00740] <newline> CG34371[f06650] <newline> CG34371[MI04721] <newline> CG34371[MI04721-GFSTF.1]	Current	melanogaster	CG34371
CG34375	FBgn0085404	CG34375[MB08223] <newline> CG34375[MI04673]	Current	melanogaster	CG34375
CG34376	FBgn0085405	CG34376[EY05255] <newline> CG34376[EY16092] <newline> CG34376[c00435] <newline> CG34376[c01198] <newline> CG34376[d03230] <newline> CG34376[f05438] <newline> CG34376[FB] <newline> CG34376[MI03586]	Current	melanogaster	CG34376
CG34377	FBgn0263117	CG34377[c05998] <newline> CG34377[c05842] <newline> CG34377[e03731]	Current	melanogaster	CG34377
CG3437	FBgn0035998	CG3437[G14512] <newline> CG3437[G15885] <newline> CG3437[c05633] <newline> CG3437[c05903] <newline> CG3437[f01630]	Current	melanogaster	CG3437
CG34382	FBgn0085411	CG34382[S022440]	Current	melanogaster	CG34382
CG34383	FBgn0085412	CG34383[f01731] <newline> CG34383[MI06872] <newline> CG34383[DG23605] <newline> CG34383[DG10504] <newline> CG34383[EP3512] <newline> CG34383[MB05180] <newline> CG34383[CB-6815-3] <newline> CG34383[KG06885] <newline> CG34383[MI02572] <newline> CG34383[2066-G4] <newline> CG34383[MI06872-TG4.1]	Current	melanogaster	CG34383
CG34384	FBgn0085413	CG34384[d10004] <newline> CG34384[f01626] <newline> CG34384[MB00245] <newline> CG34384[MI12624] <newline> CG34384[KG01333] <newline> CG34384[f00482] <newline> CG34384[MI01574] <newline> CG34384[MI01574-GFSTF.0]	Current	melanogaster	CG34384
CG34386	FBgn0085415	CG34386[MI01397] <newline> CG34386[MB05982]	Current	melanogaster	CG34386
CG34393	FBgn0085422	CG34393[MI08590] <newline> CG34393[MB01412] <newline> CG34393[MI06088] <newline> CG34393[MI09663]	Current	melanogaster	CG34393
CG34394	FBgn0085423	CG34394[MB06414] <newline> CG34394[MI04940] <newline> CG34394[MI04940-TG4.2]	Current	melanogaster	CG34394
CG34396	FBgn0085425	CG34396[e02646] <newline> CG34396[1188-G4]	Current	melanogaster	CG34396
CG34398	FBgn0085427	CG34398[e04252] <newline> CG34398[MB00367] <newline> CG34398[MI00402]	Current	melanogaster	CG34398
CG34401	FBgn0085430	CG34401[PL29#2] <newline> CG34401[PL29#1] <newline> CG34401[A] <newline> CG34401[B] <newline> CG34401[CPTI000762] <newline> CG34401[MI13603]	Current	melanogaster	CG34401
CG34402	FBgn0085431	CG34402[MI01130] <newline> CG34402[c02594] <newline> CG34402[MB05136] <newline> CG34402[MI14035] <newline> CG34402[HP36576] <newline> CG34402[c03514] <newline> CG34402[C046] <newline> CG34402[MI10990]	Current	melanogaster	CG34402
CG34404	FBgn0085433	CG34404[e02686] <newline> CG34404[G18534]	Current	melanogaster	CG34404
CG34408	FBgn0085437	CG34408[e04305] <newline> CG34408[f03664]	Current	melanogaster	CG34408
CG34409	FBgn0085438	CG34409[MI11357]	Current	melanogaster	CG34409
CG34417	FBgn0085446	CG34417[EP1377] <newline> CG34417[KG02817] <newline> CG34417[d01329] <newline> CG34417[d02291] <newline> CG34417[d03423] <newline> CG34417[d05978] <newline> CG34417[e03348] <newline> CG34417[f05324] <newline> CG34417[f07824] <newline> CG34417[BG02303b] <newline> CG34417[f00281] <newline> CG34417[f03536] <newline> CG34417[1] <newline> CG34417[MI01460] <newline> CG34417[EY05211] <newline> CG34417[NP2555] <newline> CG34417[NP3347] <newline> CG34417[NP4054] <newline> CG34417[GG01238] <newline> CG34417[d04623] <newline> CG34417[d05844] <newline> CG34417[d05937]	Current	melanogaster	CG34417
CG34424	FBgn0085453	-	Current	melanogaster	CG34424
CG34428	FBgn0085457	-	Current	melanogaster	CG34428
CG34433	FBgn0085462	-	Current	melanogaster	CG34433
CG34434	FBgn0250904	CG34434[f02362]	Current	melanogaster	CG34434
CG34436	FBgn0085465	CG34436[MB10721]	Current	melanogaster	CG34436
CG34444	FBgn0085473	CG34444[MI12904] <newline> CG34444[MI11802]	Current	melanogaster	CG34444
CG34445	FBgn0085474	CG34445[EY10857a]	Current	melanogaster	CG34445
CG34449	FBgn0085478	CG34449[MI01245] <newline> CG34449[d00976] <newline> CG34449[f05850] <newline> CG34449[c05709] <newline> CG34449[e03903] <newline> CG34449[f05814]	Current	melanogaster	CG34449
CG34459	FBgn0085488	-	Current	melanogaster	CG34459
CG34462	FBgn0085491	-	Current	melanogaster	CG34462
CG3448	FBgn0035996	CG3448[G20221]	Current	melanogaster	CG3448
CG3457	FBgn0024984	CG3457[d00103]	Current	melanogaster	CG3457
CG3473	FBgn0028913	-	Current	melanogaster	CG3473
CG3483	FBgn0035005	-	Current	melanogaster	CG3483
CG3491	FBgn0028887	-	Current	melanogaster	CG3491
CG3492	FBgn0035007	CG3492[MI06104]	Current	melanogaster	CG3492
CG3494	FBgn0035008	-	Current	melanogaster	CG3494
CG3500	FBgn0034849	CG3500[EY00630] <newline> CG3500[HP20831]	Current	melanogaster	CG3500
CG3502	FBgn0046253	CG3502[MB07452] <newline> CG3502[MB05778] <newline> CG3502[MI11978]	Current	melanogaster	CG3502
CG3505	FBgn0038250	-	Current	melanogaster	CG3505
CG3511	FBgn0035027	CG3511[1] <newline> CG3511[2] <newline> CG3511[EY22555]	Current	melanogaster	CG3511
CG3513	FBgn0031559	-	Current	melanogaster	CG3513
CG3515	FBgn0031431	-	Current	melanogaster	CG3515
CG3517	FBgn0038706	-	Current	melanogaster	CG3517
CG3520	FBgn0034859	CG3520[f04874]	Current	melanogaster	CG3520
CG3526	FBgn0040355	-	Current	melanogaster	CG3526
CG3527	FBgn0029714	CG3527[e04544]	Current	melanogaster	CG3527
CG3529	FBgn0035995	CG3529[EY10222]	Current	melanogaster	CG3529
CG3530	FBgn0028497	CG3530[KG01267] <newline> CG3530[d07361]	Current	melanogaster	CG3530
CG3534	FBgn0038463	CG3534[EP3669] <newline> CG3534[c04006] <newline> CG3534[c06224] <newline> CG3534[f06227] <newline> CG3534[CB-6258-3] <newline> CG3534[NP0113]	Current	melanogaster	CG3534
CG3542	FBgn0031492	CG3542[15.5] <newline> CG3542[18.2] <newline> CG3542[3.3] <newline> CG3542[35.1] <newline> CG3542[9.3] <newline> CG3542[9.4] <newline> CG3542[EP719] <newline> CG3542[unspecified] <newline> CG3542[5-HA-2924]	Current	melanogaster	CG3542
CG3544	FBgn0031279	CG3544[MI08969]	Current	melanogaster	CG3544
CG3546	FBgn0029716	-	Current	melanogaster	CG3546
CG3548	FBgn0035033	CG3548[EY07758]	Current	melanogaster	CG3548
CG3552	FBgn0035999	CG3552[G14512] <newline> CG3552[G15885] <newline> CG3552[c05514] <newline> CG3552[KG06994]	Current	melanogaster	CG3552
CG3556	FBgn0029708	CG3556[d04151] <newline> CG3556[HP10676] <newline> CG3556[5-HA-2755]	Current	melanogaster	CG3556
CG3557	FBgn0031423	-	Current	melanogaster	CG3557
CG3565	FBgn0035034	CG3565[e04197] <newline> CG3565[NP2366]	Current	melanogaster	CG3565
CG3568	FBgn0029710	-	Current	melanogaster	CG3568
CG3570	FBgn0035035	CG3570[MB11625] <newline> CG3570[EP2536] <newline> CG3570[EY00609] <newline> CG3570[MI13981]	Current	melanogaster	CG3570
CG3581	FBgn0038697	CG3581[MI03112]	Current	melanogaster	CG3581
CG3587	FBgn0023521	CG3587[PG9]	Current	melanogaster	CG3587
CG3588	FBgn0025643	CG3588[f04005]	Current	melanogaster	CG3588
CG3589	FBgn0035065	CG3589[f05097] <newline> CG3589[G18184]	Current	melanogaster	CG3589
CG3592	FBgn0029642	-	Current	melanogaster	CG3592
CG3594	FBgn0035063	CG3594[EY01992]	Current	melanogaster	CG3594
CG3597	FBgn0031417	-	Current	melanogaster	CG3597
CG3598	FBgn0025645	-	Current	melanogaster	CG3598
CG3603	FBgn0029648	CG3603[GS7378] <newline> CG3603[GS1133]	Current	melanogaster	CG3603
CG3604	FBgn0031562	-	Current	melanogaster	CG3604
CG3609	FBgn0031418	CG3609[e01059] <newline> CG3609[e01061] <newline> CG3609[e02184] <newline> CG3609[e02299] <newline> CG3609[e02658] <newline> CG3609[e04141]	Current	melanogaster	CG3609
CG3610	FBgn0038266	-	Current	melanogaster	CG3610
CG3611	FBgn0035069	-	Current	melanogaster	CG3611
CG3618	FBgn0037028	CG3618[EY11118]	Current	melanogaster	CG3618
CG3625	FBgn0031245	CG3625[EP468] <newline> CG3625[KG05475] <newline> CG3625[d04233] <newline> CG3625[13] <newline> CG3625[5-SZ-3580] <newline> CG3625[EY07089] <newline> CG3625[NP0425] <newline> CG3625[d11630]	Current	melanogaster	CG3625
CG3626	FBgn0029706	CG3626[f02272] <newline> CG3626[f02285] <newline> CG3626[MB06711]	Current	melanogaster	CG3626
CG3630	FBgn0023540	CG3630[e03606]	Current	melanogaster	CG3630
CG3631	FBgn0038268	CG3631[f00630]	Current	melanogaster	CG3631
CG3632	FBgn0030735	CG3632[EY11966] <newline> CG3632[e04331] <newline> CG3632[MB03514]	Current	melanogaster	CG3632
CG3634	FBgn0037026	-	Current	melanogaster	CG3634
CG3635	FBgn0032981	CG3635[KG04875] <newline> CG3635[EY20874]	Current	melanogaster	CG3635
CG3638	FBgn0261444	CG3638[NP6123] <newline> CG3638[NP6028] <newline> CG3638[d00515] <newline> CG3638[NP0089] <newline> CG3638[c05745] <newline> CG3638[GG01252] <newline> CG3638[NP5014] <newline> CG3638[d11362] <newline> CG3638[EP1325] <newline> CG3638[5-SZ-3073] <newline> CG3638[NP1072] <newline> CG3638[5-SZ-3437] <newline> CG3638[NP3009] <newline> CG3638[12c] <newline> CG3638[CB-6044-3] <newline> CG3638[f04428] <newline> CG3638[PL102] <newline> CG3638[d00189] <newline> CG3638[d04364] <newline> CG3638[KG04595] <newline> CG3638[EP1090] <newline> CG3638[f05795] <newline> CG3638[NP3453] <newline> CG3638[5-SZ-4099] <newline> CG3638[NP0398] <newline> CG3638[f07385] <newline> CG3638[GG01756] <newline> CG3638[d05041] <newline> CG3638[BG00376] <newline> CG3638[MI02782] <newline> CG3638[MI05972]	Current	melanogaster	CG3638
CG3640	FBgn0035042	-	Current	melanogaster	CG3640
CG3645	FBgn0031238	CG3645[EY08372] <newline> CG3645[EY08952] <newline> CG3645[e02524] <newline> CG3645[f00456] <newline> CG3645[f02260] <newline> CG3645[MI02082] <newline> CG3645[Or] <newline> CG3645[KG07409] <newline> CG3645[NP1133] <newline> CG3645[NP3487] <newline> CG3645[k13604]	Current	melanogaster	CG3645
CG3649	FBgn0034785	-	Current	melanogaster	CG3649
CG3650	FBgn0035070	-	Current	melanogaster	CG3650
CG3651	FBgn0032974	CG3651[e02218] <newline> CG3651[NP4236]	Current	melanogaster	CG3651
CG3652	FBgn0031600	CG3652[e00886]	Current	melanogaster	CG3652
CG3655	FBgn0040397	CG3655[f02955] <newline> CG3655[e03314] <newline> CG3655[MB09468] <newline> CG3655[MI09795] <newline> CG3655[EP1594] <newline> CG3655[f03692] <newline> CG3655[NP2522] <newline> CG3655[NP4165] <newline> CG3655[GG01073] <newline> CG3655[CB-5759-3] <newline> CG3655[d10916] <newline> CG3655[MI10930] <newline> CG3655[MI14856]	Current	melanogaster	CG3655
CG3662	FBgn0031285	CG3662[e04640]	Current	melanogaster	CG3662
CG3663	FBgn0035044	CG3663[C154]	Current	melanogaster	CG3663
CG3679	FBgn0027521	CG3679[MB02546]	Current	melanogaster	CG3679
CG3687	FBgn0034097	-	Current	melanogaster	CG3687
CG3689	FBgn0035987	CG3689[G19200]	Current	melanogaster	CG3689
CG3690	FBgn0040350	CG3690[MI05698]	Current	melanogaster	CG3690
CG3698	FBgn0037023	-	Current	melanogaster	CG3698
CG3699	FBgn0040349	-	Current	melanogaster	CG3699
CG3702	FBgn0031590	CG3702[G19606]	Current	melanogaster	CG3702
CG3703	FBgn0040348	-	Current	melanogaster	CG3703
CG3704	FBgn0040346	CG3704[A] <newline> CG3704[B] <newline> CG3704[MI12316]	Current	melanogaster	CG3704
CG3706	FBgn0040342	-	Current	melanogaster	CG3706
CG3708	FBgn0040345	-	Current	melanogaster	CG3708
CG3709	FBgn0031227	CG3709[f02078]	Current	melanogaster	CG3709
CG3711	FBgn0040344	CG3711[f06128] <newline> CG3711[MB12128]	Current	melanogaster	CG3711
CG3713	FBgn0040343	-	Current	melanogaster	CG3713
CG3714	FBgn0031589	CG3714[f07540] <newline> CG3714[EP2611] <newline> CG3714[MI10235] <newline> CG3714[d09957]	Current	melanogaster	CG3714
CG3719	FBgn0024986	CG3719[EY14694] <newline> CG3719[PG118]	Current	melanogaster	CG3719
CG3726	FBgn0029824	CG3726[d03097] <newline> CG3726[d09051] <newline> CG3726[e03887] <newline> CG3726[HP11205] <newline> CG3726[S] <newline> CG3726[CB-5605-3]	Current	melanogaster	CG3726
CG3734	FBgn0038700	CG3734[MI02316]	Current	melanogaster	CG3734
CG3735	FBgn0034933	CG3735[139] <newline> CG3735[DG16512] <newline> CG3735[EP2311] <newline> CG3735[ZCL1614] <newline> CG3735[KG00703]	Current	melanogaster	CG3735
CG3739	FBgn0038702	-	Current	melanogaster	CG3739
CG3740	FBgn0023530	CG3740[f06503] <newline> CG3740[EY03391]	Current	melanogaster	CG3740
CG3744	FBgn0039240	CG3744[EY06046] <newline> CG3744[c00262] <newline> CG3744[d00282] <newline> CG3744[d09029] <newline> CG3744[e00239] <newline> CG3744[MI01342] <newline> CG3744[CB-0130-3] <newline> CG3744[CB-0158-3]	Current	melanogaster	CG3744
CG3746	FBgn0034755	CG3746[MB01292]	Current	melanogaster	CG3746
CG3748	FBgn0032110	-	Current	melanogaster	CG3748
CG3756	FBgn0031657	-	Current	melanogaster	CG3756
CG3760	FBgn0022343	CG3760[EP376] <newline> CG3760[EP548] <newline> CG3760[EP936] <newline> CG3760[EY06078]	Current	melanogaster	CG3760
CG3764	FBgn0036684	CG3764[f04642] <newline> CG3764[MB02387] <newline> CG3764[MI09576] <newline> CG3764[MI12194] <newline> CG3764[MI12194-GFSTF.2] <newline> CG3764[0426-G4]	Current	melanogaster	CG3764
CG3769	FBgn0032119	-	Current	melanogaster	CG3769
CG3770	FBgn0035085	-	Current	melanogaster	CG3770
CG3773	FBgn0038692	CG3773[DP01497]	Current	melanogaster	CG3773
CG3776	FBgn0035088	CG3776[EP835] <newline> CG3776[EP840] <newline> CG3776[G12739] <newline> CG3776[MI12028]	Current	melanogaster	CG3776
