#SUBMITTED ID	FBID_KEY	CLASSICAL_ALLELES	GENE_MODEL_STATUS	SPECIES	SYMBOL
2L-250-35	FBgn0070054	2L-250-35[2L-250-35]	Unannotated	melanogaster	2L-250-35
2L-311-30	FBgn0070053	2L-311-30[2L-311-30]	Unannotated	melanogaster	2L-311-30
2L-393-17	FBgn0070052	2L-393-17[2L-393-17]	Unannotated	melanogaster	2L-393-17
2L0028	FBgn0260088	2L0028[2L0028]	Unannotated	melanogaster	2L0028
2L0058	FBgn0260100	2L0058[2L0058]	Unannotated	melanogaster	2L0058
2L0128	FBgn0260101	2L0128[2L0128]	Unannotated	melanogaster	2L0128
2L0196	FBgn0260102	2L0196[2L0196]	Unannotated	melanogaster	2L0196
2L0372	FBgn0260103	2L0372[2L0372]	Unannotated	melanogaster	2L0372
2L0419	FBgn0260121	2L0419[2L0419]	Unannotated	melanogaster	2L0419
2L0439	FBgn0260080	2L0439[2L0439]	Unannotated	melanogaster	2L0439
2L0445	FBgn0260122	2L0445[2L0445]	Unannotated	melanogaster	2L0445
2L0944	FBgn0260077	2L0944[2L0944]	Unannotated	melanogaster	2L0944
2L0948	FBgn0260603	2L0948[2L0948]	Unannotated	melanogaster	2L0948
2L1281	FBgn0260123	2L1281[2L1281]	Unannotated	melanogaster	2L1281
2L1296	FBgn0260124	2L1296[2L1296]	Unannotated	melanogaster	2L1296
2L1360	FBgn0260075	2L1360[2L1360]	Unannotated	melanogaster	2L1360
2L1506	FBgn0260081	2L1506[2L1506]	Unannotated	melanogaster	2L1506
2L1540	FBgn0260606	2L1540[2L1540]	Unannotated	melanogaster	2L1540
2L1554	FBgn0260070	2L1554[2L1554]	Unannotated	melanogaster	2L1554
2L1561	FBgn0260605	2L1561[2L1561]	Unannotated	melanogaster	2L1561
2L1629	FBgn0260117	2L1629[2L1629]	Unannotated	melanogaster	2L1629
2L1663	FBgn0260067	2L1663[2L1663]	Unannotated	melanogaster	2L1663
2L1668	FBgn0260106	2L1668[2L1668]	Unannotated	melanogaster	2L1668
2L1682	FBgn0260618	2L1682[2L1682]	Unannotated	melanogaster	2L1682
2L1683	FBgn0260594	2L1683[2L1683]	Unannotated	melanogaster	2L1683
2L1685	FBgn0260602	2L1685[2L1685]	Unannotated	melanogaster	2L1685
2L1687	FBgn0260082	2L1687[2L1687]	Unannotated	melanogaster	2L1687
2L1693	FBgn0260089	2L1693[2L1693]	Unannotated	melanogaster	2L1693
2L1710	FBgn0260601	2L1710[2L1710]	Unannotated	melanogaster	2L1710
2L1738	FBgn0260624	2L1738[2L1738]	Unannotated	melanogaster	2L1738
2L1748	FBgn0260617	2L1748[2L1748]	Unannotated	melanogaster	2L1748
2L1749	FBgn0260059	2L1749[2L1749]	Unannotated	melanogaster	2L1749
2L1794	FBgn0260611	2L1794[2L1794]	Unannotated	melanogaster	2L1794
2L1809	FBgn0260607	2L1809[2L1809]	Unannotated	melanogaster	2L1809
2L1923	FBgn0260094	2L1923[2L1923]	Unannotated	melanogaster	2L1923
2L2084	FBgn0260111	2L2084[2L2084]	Unannotated	melanogaster	2L2084
2L2181	FBgn0260083	2L2181[2L2181]	Unannotated	melanogaster	2L2181
2L2218	FBgn0260098	2L2218[2L2218]	Unannotated	melanogaster	2L2218
2L2269	FBgn0260071	2L2269[2L2269]	Unannotated	melanogaster	2L2269
2L2366	FBgn0260613	2L2366[2L2366]	Unannotated	melanogaster	2L2366
2L2416	FBgn0260053	2L2416[2L2416]	Unannotated	melanogaster	2L2416
2L2436	FBgn0260587	2L2436[2L2436]	Unannotated	melanogaster	2L2436
